id 2,name,slug,description,short_description,location_id,business_type_id,user_id,address,city,state,zip_code,phone,email,website,social_media,hours,latitude,longitude,is_claimed,status,is_featured
1,Pelican's Catch Seafood Restaurant,pelicans-catch-seafood-restaurant,Fresh local seafood with oceanfront dining and live music.,,16,1,4,"12 Oceanfront Dr, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,,,,,,0,pending,0
2,Seaside Surf Shop,seaside-surf-shop,"Rent surfboards, beach chairs, and more—just steps from the sand!",,17,2,5,"34 Beach Ave, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,,,,,,0,pending,0
3,Ice Cream Parlor,ice-cream-parlor,Homemade ice cream and classic beach treats.,,18,3,7,"56 Pier Blvd, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,,,,,,0,pending,0
4,Cabana Bar & Grill,cabana-bar-grill,Casual bar and grill with ocean views and live music.,,16,4,8,"78 Cabana Rd, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,,,,,,0,pending,0
5,Gift & Souvenir Shop,gift-souvenir-shop,"Unique gifts, local art, and beach souvenirs.",,17,2,9,"90 Boardwalk, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,,,,,,0,pending,0
6,Yoga Studio by the Sea,yoga-studio-by-the-sea,Yoga classes with a view of the Atlantic.,,18,5,8,"21 Oceanview Dr, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,,,,,,0,pending,0
7,Kayak & Paddleboard Rentals,kayak-paddleboard-rentals,Explore the coastal marshes and waterways.,,16,6,7,"43 Marsh Rd, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,,,,,,0,pending,0
8,Bait & Tackle Shop,bait-tackle-shop,Everything you need for a day of fishing at the pier.,,17,2,2,"65 Fisherman Ln, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,,,,,,0,pending,0
9,Boutique Clothing Shop,boutique-clothing-shop,Trendy beachwear and accessories.,,18,2,7,"87 Trendy St, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,,,,,,0,pending,0
10,Boat Tours & Charters,boat-tours-charters,"See dolphins, sea turtles, and the beautiful coastline.",,16,7,5,"109 Marina Blvd, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,,,,,,0,pending,0
