title,slug,description,user_id,property_type_id,location_id,amenity_ids,address,city,state,zip_code,latitude,longitude,bedrooms,bathrooms,max_guests,nightly_rate,booking_url,ical_url,has_direct_booking,status,is_featured,views,featured_image
Luxury Oceanfront Beach House,luxury-oceanfront-beach-house,Wake up to the sound of waves in this newly renovated 4BR/3BA home right on North Topsail Beach.,10,4,16,"7,8,9","123 Ocean Blvd, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,4,3,10,450,,,0,draft,0,0,
Coastal Condo with Pier View,coastal-condo-with-pier-view,Modern 2BR condo steps from the fishing pier and local shops.,2,5,17,"8,11","234 Pier Ave, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,2,2,4,250,,,0,draft,0,0,
Pet-Friendly Cottage,pet-friendly-cottage,"Charming 3BR cottage with fenced yard, perfect for families and pets.",8,6,18,"9,10","345 Coastal Dr, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,3,2,5,200,,,0,draft,0,0,
Resort-Style Villa with Pool,resort-style-villa-with-pool,Spacious villa with resort amenities and private pool.,6,4,16,"7,11","456 Resort Ln, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,5,4,12,600,,,0,draft,0,0,
Modern Apartment Near Attractions,modern-apartment-near-attractions,"1BR apartment close to shops, restaurants, and the beach.",5,5,17,"8,9","567 Main St, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,1,1,2,175,,,0,draft,0,0,
Seaside Bungalow with Deck,seaside-bungalow-with-deck,Cozy bungalow with large deck and ocean breeze.,10,6,18,"7,8,10","678 Seaside Rd, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,2,2,4,225,,,0,draft,0,0,
Historic Coastal Home,historic-coastal-home,Experience classic coastal charm in this restored 1920s home.,10,4,16,"9,11","789 Historic Ave, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,3,2,6,350,,,0,draft,0,0,
Beach House with Hot Tub,beach-house-with-hot-tub,Relax in the hot tub after a day at the beach in this 3BR home.,10,5,17,"7,8","890 Beachside Dr, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,3,2,7,400,,,0,draft,0,0,
Family-Friendly Rental Near Pier,family-friendly-rental-near-pier,"Perfect for families, just a short walk to the pier and local playground.",7,6,18,"8,9,11","901 Pier Walk, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,4,2,8,300,,,0,draft,0,0,
Modern Coastal Studio,modern-coastal-studio,Bright and airy studio for couples or solo travelers.,9,4,16,"7,10","1010 Studio Ln, North Topsail Beach, NC",North Topsail Beach,NC,28460,,,1,1,2,150,,,0,draft,0,0,
